n,seed,status,cd_score,opt_score,rel_gap,exact
2,0,cd_fallback,,,,
2,1,ok,0.133333,0.133333,0.0,1
2,2,cd_fallback,,,,
2,3,ok,0.529255,0.529255,0.0,1
2,4,ok,0.474962,0.474962,0.0,1
2,5,ok,0.63204,0.63204,0.0,1
2,6,ok,0.209357,0.209357,0.0,1
2,7,cd_fallback,,,,
2,8,cd_fallback,,,,
2,9,cd_fallback,,,,
2,10,ok,0.92779,0.92779,0.0,1
2,11,ok,0.830323,0.830323,0.0,1
2,12,ok,0.773904,0.773904,0.0,1
2,13,ok,3.508653,3.508653,0.0,1
2,14,ok,1.462783,1.462783,0.0,1
2,15,cd_fallback,,,,
2,16,ok,0.19269,0.19269,0.0,1
2,17,cd_fallback,,,,
2,18,cd_fallback,,,,
2,19,ok,0.703377,0.703377,0.0,1
2,20,ok,0.198976,0.198976,0.0,1
2,21,ok,0.653408,0.653408,0.0,1
2,22,cd_fallback,,,,
2,23,ok,0.247651,0.247651,0.0,1
2,24,ok,0.982124,0.982124,0.0,1
2,25,ok,0.508294,0.508294,0.0,1
2,26,cd_fallback,,,,
2,27,ok,0.372942,0.372942,0.0,1
2,28,ok,0.628104,0.628104,0.0,1
2,29,cd_fallback,,,,
2,30,cd_fallback,,,,
2,31,cd_fallback,,,,
2,32,ok,0.170781,0.170781,0.0,1
2,33,ok,0.468923,0.468923,0.0,1
2,34,cd_fallback,,,,
2,35,ok,0.470945,0.470945,0.0,1
2,36,ok,0.093251,0.093251,0.0,1
2,37,ok,1.147832,1.147832,0.0,1
2,38,cd_fallback,,,,
2,39,cd_fallback,,,,
2,40,cd_fallback,,,,
2,41,ok,0.344855,0.344855,0.0,1
2,42,ok,0.777595,0.777595,0.0,1
2,43,ok,0.53123,0.53123,0.0,1
2,44,cd_fallback,,,,
2,45,cd_fallback,,,,
2,46,ok,0.468791,0.468791,0.0,1
2,47,cd_fallback,,,,
2,48,cd_fallback,,,,
2,49,ok,0.828951,0.828951,0.0,1
2,50,cd_fallback,,,,
2,51,ok,0.4368,0.4368,0.0,1
2,52,ok,0.306896,0.306896,0.0,1
2,53,ok,0.279837,0.279837,0.0,1
2,54,cd_fallback,,,,
2,55,ok,0.406638,0.406638,0.0,1
2,56,ok,0.380996,0.380996,0.0,1
2,57,ok,0.147361,0.147361,0.0,1
2,58,ok,0.925501,0.925501,0.0,1
2,59,ok,0.223503,0.223503,0.0,1
3,0,ok,0.456216,0.456216,0.0,1
3,1,ok,0.84854,0.84854,0.0,1
3,2,ok,0.376489,0.376489,0.0,1
3,3,ok,0.623401,0.623401,0.0,1
3,4,ok,0.125836,0.125836,0.0,1
3,5,cd_fallback,,,,
3,6,ok,0.440378,0.440378,0.0,1
3,7,ok,0.669728,0.669728,0.0,1
3,8,ok,0.581977,0.581977,0.0,1
3,9,cd_fallback,,,,
3,10,ok,3.310797,3.310797,0.0,1
3,11,ok,0.394289,0.394289,0.0,1
3,12,ok,0.758897,0.758897,0.0,1
3,13,ok,0.692246,0.692246,0.0,1
3,14,ok,0.301682,0.301682,0.0,1
3,15,ok,0.477021,0.477021,0.0,1
3,16,ok,0.83776,0.83776,0.0,1
3,17,ok,0.898098,0.898098,0.0,1
3,18,ok,0.619325,0.619325,0.0,1
3,19,ok,0.642035,0.642035,0.0,1
3,20,ok,0.929712,0.929712,0.0,1
3,21,ok,0.266809,0.266809,0.0,1
3,22,ok,1.21414,1.21414,0.0,1
3,23,ok,0.670508,0.670508,0.0,1
3,24,ok,1.346683,1.346683,0.0,1
3,25,ok,0.983579,0.983579,0.0,1
3,26,ok,0.407407,0.407407,0.0,1
3,27,ok,0.30406,0.30406,0.0,1
3,28,ok,1.072712,1.072712,0.0,1
3,29,cd_fallback,,,,
3,30,ok,0.405552,0.405552,0.0,1
3,31,ok,0.559546,0.559546,0.0,1
3,32,ok,0.659623,0.659623,0.0,1
3,33,cd_fallback,,,,
3,34,ok,0.368468,0.368468,0.0,1
3,35,ok,0.918743,0.918743,0.0,1
3,36,ok,0.688044,0.688044,0.0,1
3,37,ok,0.399699,0.399699,0.0,1
3,38,cd_fallback,,,,
3,39,ok,0.967927,0.967927,0.0,1
3,40,cd_fallback,,,,
3,41,ok,0.265457,0.265457,0.0,1
3,42,cd_fallback,,,,
3,43,cd_fallback,,,,
3,44,ok,0.435923,0.435923,0.0,1
3,45,cd_fallback,,,,
3,46,cd_fallback,,,,
3,47,cd_fallback,,,,
3,48,ok,0.561312,0.561312,0.0,1
3,49,ok,1.121011,1.121011,0.0,1
3,50,ok,0.905209,0.905209,0.0,1
3,51,cd_fallback,,,,
3,52,ok,0.292441,0.292441,0.0,1
3,53,ok,0.515659,0.515659,0.0,1
3,54,ok,0.489542,0.489542,0.0,1
3,55,ok,0.37004,0.37004,0.0,1
3,56,ok,1.32624,1.32624,0.0,1
3,57,ok,0.264062,0.264062,0.0,1
3,58,cd_fallback,,,,
3,59,cd_fallback,,,,
