tier,batch,new_tokens,wall_s,per_request_ms,throughput_rps,tokens_per_s,exact,error
small,exactness,8,,,,,True,
small,1,48,1.5443,1544.3,0.65,31.1,,
small,8,48,1.4206,1420.6,5.63,270.3,,
small,32,48,1.5197,1519.7,21.06,1010.7,,
small,64,48,1.662,1662.0,38.51,1848.4,,
small,1,96,3.0721,3072.1,0.33,31.2,,
small,8,96,2.8608,2860.8,2.8,268.5,,
small,32,96,2.99,2990.0,10.7,1027.4,,
small,64,96,3.1777,3177.7,20.14,1933.5,,
mid,exactness,8,,,,,True,
mid,1,48,2.2727,2272.7,0.44,21.1,,
mid,8,48,2.269,2269.0,3.53,169.2,,
mid,32,48,3.3717,3371.7,9.49,455.6,,
mid,64,48,4.5806,4580.6,13.97,670.7,,
mid,1,96,4.5528,4552.8,0.22,21.1,,
mid,8,96,4.4335,4433.5,1.8,173.2,,
mid,32,96,6.4572,6457.2,4.96,475.7,,
mid,64,96,8.9574,8957.4,7.14,685.9,,
