policy,requests,capacity_entries,hit_rate,total_cost_usd,cost_per_request_usd,savings_vs_lru,overhead_p99_us
lru,200000,2000,0.9028,50.8736,0.00025437,0.0000,0.0
lfu,200000,2000,0.6205,274.8776,0.00137439,-4.4031,1120.3
gdsf,200000,2000,0.8909,37.5473,0.00018774,0.2619,1000.2
arc,200000,2000,0.9048,49.4820,0.00024741,0.0274,0.0
gptcache_threshold_lru,200000,2000,0.9028,50.8736,0.00025437,0.0000,0.0
costaware_w28,200000,2000,0.8999,38.6423,0.00019321,0.2404,1104.9
lru,200000,400,0.7506,126.9632,0.00063482,0.0000,0.0
lfu,200000,400,0.3429,379.3221,0.00189661,-1.9877,1065.0
gdsf,200000,400,0.6956,77.4583,0.00038729,0.3899,0.0
arc,200000,400,0.7914,109.7709,0.00054885,0.1354,0.0
gptcache_threshold_lru,200000,400,0.7506,126.9632,0.00063482,0.0000,0.0
costaware_w28,200000,400,0.7426,78.6180,0.00039309,0.3808,1053.6
