alpha,beta,gamma,controller,steps,total_cost_usd,mean_violation,violation_step_share,mean_jain
0.3,0.5,0.5,jcac,119,1.4255,0.0581,0.2164,0.9739
0.3,1.0,0.5,jcac,119,1.5811,0.0483,0.159,0.9771
0.3,2.0,0.5,jcac,119,1.6207,0.0466,0.159,0.9781
0.3,4.0,0.5,jcac,119,1.6906,0.0442,0.1576,0.9792
1.0,0.5,0.5,jcac,119,0.7453,0.0898,0.2682,0.9476
1.0,1.0,0.5,jcac,119,1.1675,0.07,0.2528,0.965
1.0,2.0,0.5,jcac,119,1.5979,0.0537,0.2101,0.9766
1.0,4.0,0.5,jcac,119,1.674,0.044,0.1583,0.9792
3.0,0.5,0.5,jcac,119,0.5359,0.0987,0.2696,0.9399
3.0,1.0,0.5,jcac,119,0.5855,0.0951,0.2696,0.9436
3.0,2.0,0.5,jcac,119,0.8761,0.0821,0.2654,0.9549
3.0,4.0,0.5,jcac,119,1.2928,0.0603,0.2437,0.9735
10.0,0.5,0.5,jcac,119,0.2662,0.134,0.3508,0.9251
10.0,1.0,0.5,jcac,119,0.311,0.1131,0.3046,0.9346
10.0,2.0,0.5,jcac,119,0.3718,0.1006,0.2717,0.9396
10.0,4.0,0.5,jcac,119,0.5327,0.0923,0.2668,0.946
1.0,2.0,0.0,jcac,119,1.587,0.0538,0.2101,0.9766
1.0,2.0,2.0,jcac,119,1.6059,0.0533,0.2087,0.9767
